DebugMenu_StartNameEntryEffect 0801C2A4
ADJUSTFROMXI_MoveCameraOnSomeUnit 0801DBC0
ConvoyMenuProc_StarMenu 0801DBF0
ConvoyMenuProc_ExecBootlegPopup 0801DCA4
MenuCommand_DrawExtraItem 0801DDA0
StartPikeTrapAnim 0801F5D0
ChapterIntro_DrawChapterTitle 08020470
ProcDanceAnim_Init 08021AFC
ItemSelectMenu_Effect 080233EC
TornOutUnitSprite 08026BC0
SetStandingMuFacingWM 08027080
DoUseRescueStaff 08029510
DoUseSpecialDance 08029550
DoUsePutTrap 08029890
Menu_SwitchIn 080299C4
PrepHelpPrompt_Loop 08033484
SubtitleHelp_Init 08035580
SubtitleHelp_OnEnd 080355A0
BattleForecast_LoopSlideIn 080372F0
CpDecide_Suspend 08039B40
DecideHealOrEscape 08039D88
DecideSpecialItems 08039E3C
DecideScriptB 08039EA4
AiScriptCmd_04_ActionOnSelectedCharacter 0803C904
AiScriptCmd_05_DoStandardAction 0803C99C
AiScriptCmd_08_DoStandardActionAgainstClass 0803CA74
AiDoBerserkMove 0803D394
AiFunc_AttackUnitWithCharId 0803F5AC
AiFindClosestChestPosition 08040B0C
InitAiMoveMapForUnit 08040E48
SioMain2_WaitEndAndRoute 08045BC8
SioBat_DecideFirstMover 080461B0
SioBat_ReceiveFirstMover 08046250
SioMenu_LoadGraphics 08047A4C
SioMenu_RestartGraphicsMaybe 08047CA0
DrawXMapSendProgress 080484AC
StartXMapTransfer 0804851C
Sio_Msg89Barrier_Init 080485EC
ApplyTalkTextPalette 08048BDC
Loop6C_WaitForSelectPress 08049638
PointsNumberMover_Init 080498B8
LABattleMap_StartBonusPointsHelp 0804C4BC
UnpackLegacyUiFramePalette 0804EE2C
OverriddenMenuAvailability 08050520
ClearMenuBgs 080505C0
NewEfxDeadEvent 08053AC4
NewEfxNoDamageYure 08053E10
EfxStatusUnitEnd 08055B24
EndEfxSpellCast 08055E9C
GetBattleAnimationId_WithUnique 08058AF8
NewEkrUnitMainMini 0805B7A4
NewDummvRST 0805C2F8
StartSpellAnimDummy 0805CC2C
EfxTeonoMain 0805CCDC
NewEfxTeonoOBJ 0805CD78
EfxTeonoObjEnd 0805CE78
NewEfxTeonoOBJ2 0805CEA0
EfxArrowObjMain 0805D6A0
StartSpellAnimBallista 0805DAA8
efxSongOBJ_Loop 0805E130
efxFirebreathBGCOL_Loop 0805E428
efxFimbulvetrOBJ2Fall_Loop 0805F794
efxThunderstormOBJ_Loop 0805FA24
efxSongBG_Loop 0806166C
StartSubSpell_efxHazymoonOBJ3RND 08061938
StartSpellAnimHeal 08062124
efxFimbulvetrBGTR_Loop 08063C48
StartSubSpell_efxOuraBG_A 08065FF0
efxMaohFlashBG3_Loop 08069C44
efxNaglfarBG3_Loop 0806A3AC
EfxmagicShadowshot_FadeToBlack_Loop 0806D668
efxCriricalEffectMain 0806ED2C
NewEfxCriricalEffectBG 0806ED5C
NewEfxCriricalEffectBGCOL 0806EDD4
EfxSkillCommonBG_FreezeAnims 08070C94
EfxSkillCommonBG_UnfreezeAnims 08070D50
NewEkrClasschgBG1 080752F8
NewEfxKingPika 08075434
