# Newly-confirmed REGION-SAME no-funcmap US-C-portable functions.
# Generated by scripts/classify_nofuncmap.py (relocation-aware
# find_runs-style match + raw-byte exact pre-pass). These are NOT in
# layout/us_jp_funcmap.tsv -- the harvest agents can target them next.
# tier: exact=raw US bytes unique in JP (immediately portable);
#       reloc-unique=isolated-compile masked .text unique in JP;
#       reloc-ambiguous=masked .text matches >=2 JP sites (carve w/ neighbour).
# jp_addr	us_addr	size	tier	name	tu
08057E04	08056E7C	40	reloc-unique	EkrNamewinAppearDelay	banim-ekrbattleintro
08057EA8	08056F20	72	reloc-unique	NewEkrBaseAppear	banim-ekrbattleintro
08057F0C	08056F84	116	reloc-unique	EkrBaseAppearMain	banim-ekrbattleintro
08058AF8	08057CAC	252	reloc-unique	GetBattleAnimationId_WithUnique	banim-ekrbattleintro
08058FE8	080581A0	76	reloc-unique	UnsetMapStaffAnim	banim-battleparse
08059678	08058848	208	reloc-unique	GetBattleAnimationId	banim-ekrcmd
080598BC	08058A8C	60	reloc-unique	IsItemDisplayedInBattle	banim-ekrcmd
080598F8	08058AC8	64	reloc-unique	IsWeaponLegency	banim-ekrcmd
08059938	08058B08	28	reloc-unique	EkrCheckWeaponSieglindeSiegmund	banim-ekrcmd
0805A6B0	0805990C	24	reloc-unique	NewEkrChienCHR	banim-ekrmain
0805A6E0	0805993C	52	reloc-unique	RegisterAISSheetGraphics	banim-ekrmain
0805A78C	080599E8	832	reloc-unique	UpdateBanimFrame	banim-ekrmain
0805AACC	08059D28	144	reloc-unique	InitMainAnims	banim-ekrmain
0805ABBC	08059E18	324	reloc-unique	InitLeftAnim	banim-ekrmain
0805AD00	08059F5C	288	reloc-unique	InitRightAnim	banim-ekrmain
0805AE20	0805A07C	216	reloc-unique	SwitchAISFrameDataFromBARoundType	banim-ekrmain
0805B074	0805A2D0	32	reloc-unique	GetAnimRoundType	banim-ekrmain
0805B0B4	0805A310	36	reloc-unique	GetAnimRoundTypeAnotherSide	banim-ekrmain
0805B764	0805A9C0	32	reloc-unique	NewEfxAnimeDrvProc	banim-ekrmainmini
0805B7A4	0805AA00	40	reloc-unique	NewEkrUnitMainMini	banim-ekrmainmini
0805B80C	0805AA68	940	reloc-unique	InitBanimTerrain	banim-ekrmainmini
0805BBFC	0805AE58	328	reloc-unique	RegisterBanimTerrainTm	banim-ekrmainmini
0805C034	08076484	44	reloc-ambiguous	EkrHenseiEnd_Init	banim-ekrhensei
0805C060	080764B0	100	reloc-ambiguous	EkrHenseiEnd_FadeOutLoop	banim-ekrhensei
0805C0C4	08076514	44	reloc-ambiguous	EkrHenseiEnd_End	banim-ekrhensei
0805C138	0805B394	56	reloc-unique	ekrTogiColor_Loop	banim-ekrarena
0805C1A4	0805B400	68	reloc-unique	NewefxRestRST	banim-efxmagic
0805C1E8	0805C20C	16	reloc-ambiguous	EfxTeonoSeCallBack	banim-efxmagic-phywpn
0805C1E8	0805B584	16	reloc-ambiguous	DummvRST_OnEnd	banim-efxmagic
0805C1E8	0805B444	16	reloc-ambiguous	efxRestRST_OnEnd	banim-efxmagic
0805C1E8	08060BC4	16	reloc-ambiguous	efxFenrirBGCOL_OnEnd	banim-efxmagic-fenrir
0805C1E8	080623D0	16	reloc-ambiguous	efxRestOBJ_Loop	banim-efxmagic-healstaves
0805C1E8	08063EE8	16	reloc-ambiguous	efxLunaBGCOL_OnEnd	banim-efxmagic-luna
0805C1E8	08062C04	16	reloc-ambiguous	efxHammarneOBJ_OnEnd	banim-efxmagic-effectstaves
0805C1E8	08062F3C	16	reloc-ambiguous	efxBerserkCLONE_OnEnd	banim-efxmagic-effectstaves
0805C1E8	08062934	16	reloc-ambiguous	efxSleepOBJ_OnEnd	banim-efxmagic-effectstaves
0805C1E8	08062988	16	reloc-ambiguous	efxSleepSE_OnEnd	banim-efxmagic-effectstaves
0805C1E8	080646B0	16	reloc-ambiguous	efxExcaliburBGCOL_OnEnd	banim-efxmagic-excalibur
0805C1E8	08065624	16	reloc-ambiguous	efxSuperdruidOBJ2_OnEnd	banim-efxmagic-ereshkigal
0805C28C	0805B4E8	76	reloc-unique	NewEfxTwobaiRST	banim-efxmagic
0805C2F8	0805B554	48	reloc-unique	NewDummvRST	banim-efxmagic
0805C338	0805B594	76	reloc-unique	DummvRSTMain	banim-efxmagic
0805C708	0805B958	196	reloc-unique	EfxRestWINHMain	banim-efxmagic
0805C7CC	0805BA1C	72	reloc-unique	NewEfxALPHA	banim-efxmagic
0805C814	0805BA64	192	reloc-unique	EfxALPHAMain	banim-efxmagic
0805CA20	0805BC80	68	reloc-unique	StartSpellThing_MagicQuake	banim-efxmagic
0805CC2C	0805BE90	36	reloc-unique	StartSpellAnimDummy	banim-efxmagic-phywpn
0805CCA4	0805BF08	56	reloc-ambiguous	StartSpellAnimHandAxe	banim-efxmagic-phywpn
0805CCA4	0805C264	56	reloc-ambiguous	StartSpellAnimArrow	banim-efxmagic-phywpn
0805CCA4	0805C934	56	reloc-ambiguous	StartSpellAnimSong	banim-efxmagic-refresh
0805CCA4	0805D064	56	reloc-ambiguous	StartSpellAnimFireBreath	banim-efxmagic-breath
0805CCA4	080687E4	56	reloc-ambiguous	StartSpellAnimWretchedAir	banim-efxmagic-wretchedair
0805CCA4	08068B80	56	reloc-ambiguous	StartSpellAnimGleipnir	banim-efxmagic-gleipnir
0805CCDC	0805BF40	156	reloc-unique	EfxTeonoMain	banim-efxmagic-phywpn
0805CD78	0805BFDC	164	reloc-unique	NewEfxTeonoOBJ	banim-efxmagic-phywpn
0805CE1C	0805C080	92	reloc-unique	EfxTeonoObjMain	banim-efxmagic-phywpn
0805CE78	0805C0DC	40	reloc-unique	EfxTeonoObjEnd	banim-efxmagic-phywpn
0805CEA0	0805C104	132	reloc-unique	NewEfxTeonoOBJ2	banim-efxmagic-phywpn
0805CF24	0805C188	64	reloc-unique	EfxTeonoObj2Main	banim-efxmagic-phywpn
0805D6A0	0805C904	48	reloc-unique	EfxTeyariObjMain	banim-efxmagic-phywpn
0805D860	0805CAC4	124	reloc-ambiguous	efxSongBG_Loop	banim-efxmagic-refresh
0805D860	0806056C	124	reloc-ambiguous	efxHazymoonBG_Loop	banim-efxmagic-eclipse
0805D944	0805CBA8	52	reloc-ambiguous	efxSongOBJ_Loop	banim-efxmagic-refresh
0805D944	0805D030	52	reloc-ambiguous	efxHurtmutOBJ_Loop	banim-efxmagic-bindingblade
0805DAA8	0805CD0C	80	reloc-unique	StartSpellAnimBallista	banim-efxmagic-ballista
0805DC60	0805E0E4	60	reloc-ambiguous	StartSpellAnimFimbulvetr	banim-efxmagic-fimbulvetr
0805DC60	0805F354	60	reloc-ambiguous	StartSpellAnimNosferatu	banim-efxmagic-nosferatu
0805DC60	0805F8B4	60	reloc-ambiguous	StartSpellAnimLightning	banim-efxmagic-light
0805DC60	0805E754	60	reloc-ambiguous	StartSpellAnimBolting	banim-efxmagic-bolting
0805DC60	080608A4	60	reloc-ambiguous	StartSpellAnimFenrir	banim-efxmagic-fenrir
0805DC60	080623E0	60	reloc-ambiguous	StartSpellAnimSilence	banim-efxmagic-effectstaves
0805DC60	08063974	60	reloc-ambiguous	StartSpellAnimLuna	banim-efxmagic-luna
0805DC60	08063480	60	reloc-ambiguous	StartSpellAnimShine	banim-efxmagic-shine
0805DC60	08064308	60	reloc-ambiguous	StartSpellAnimExcalibur	banim-efxmagic-excalibur
0805DC60	08064E74	60	reloc-ambiguous	StartSpellAnimAura	banim-efxmagic-aura
0805DC60	080657D4	60	reloc-ambiguous	StartSpellAnimIvaldi	banim-efxmagic-ivaldi
0805DC60	08066514	60	reloc-ambiguous	StartSpellAnimDemonLight	banim-efxmagic-demonlight
0805DC60	08067B7C	60	reloc-ambiguous	StartSpellAnimNaglfar	banim-efxmagic-naglfar
0805DC60	080674D4	60	reloc-ambiguous	StartSpellAnimStone	banim-efxmagic-stone
0805DC60	08069EC4	60	reloc-ambiguous	StartSpellAnimCrimsonEye	banim-efxmagic-crimsoneye
0805DC60	0806AEF4	60	reloc-ambiguous	StartSpellAnimShadowshot	banim-efxmagic-shadowshot
0805DC60	0806B4F8	60	reloc-ambiguous	StartSpellAnimDemonSurge	banim-efxmagic-demonsurge
0805DF7C	0805D680	76	reloc-ambiguous	efxDarkbreathBGCOL_Loop	banim-efxmagic-breath
0805E2FC	0805D1FC	100	reloc-ambiguous	efxFirebreathOBJ_Loop	banim-efxmagic-breath
0805E2FC	08068970	100	reloc-ambiguous	efxDrzDrakbreathOBJ_Loop	banim-efxmagic-wretchedair
0805E3B4	0805D2B4	56	reloc-ambiguous	efxFirebreathBG_Loop	banim-efxmagic-breath
0805E3B4	08068A28	56	reloc-ambiguous	efxDrzDrakbreathBG_Loop	banim-efxmagic-wretchedair
0805E428	0805D328	96	reloc-ambiguous	efxFirebreathBGCOL_Loop	banim-efxmagic-breath
0805E428	08068A9C	96	reloc-ambiguous	efxDrzDrakbreathBGCOL_Loop	banim-efxmagic-wretchedair
0805E4C4	0805D3C4	128	reloc-unique	efxIcebreath_Loop_Main	banim-efxmagic-breath
0805E5B8	0805D4B8	24	reloc-ambiguous	efxIcebreathOBJ_OnEnd	banim-efxmagic-breath
0805E5B8	08060664	24	reloc-ambiguous	efxHazymoonOBJ2_OnEnd	banim-efxmagic-eclipse
0805E5B8	0806088C	24	reloc-ambiguous	efxHazymoonOBJ3RND_OnEnd	banim-efxmagic-eclipse
0805E608	0805D508	148	reloc-unique	efxDarkbreath_Loop_Main	banim-efxmagic-breath
0805E6EC	0805D5EC	88	reloc-ambiguous	efxDarkbreathBG_Loop	banim-efxmagic-breath
0805E6EC	080625B0	88	reloc-ambiguous	efxSilenceBG_Loop	banim-efxmagic-effectstaves
0805E6EC	08063BC8	88	reloc-ambiguous	efxLunaBG_Loop	banim-efxmagic-luna
0805E6EC	08062840	88	reloc-ambiguous	efxSleepBG_Loop	banim-efxmagic-effectstaves
0805E6EC	08063378	88	reloc-ambiguous	efxMshieldBG_Loop	banim-efxmagic-effectstaves
0805E6EC	080651C4	88	reloc-ambiguous	efxOuraBG_Loop	banim-efxmagic-aura
0805E6EC	0806C990	88	reloc-ambiguous	efxNormalEffectBGMain	banim-efxhit
0805EF74	0805F7D4	100	reloc-ambiguous	efxResireBG2_Loop	banim-efxmagic-nosferatu
0805EF74	080635E8	100	reloc-ambiguous	efxShineBG_Loop	banim-efxmagic-shine
0805EF74	0806542C	100	reloc-ambiguous	efxOuraBG3_Loop	banim-efxmagic-aura
0805F0E8	08061854	72	reloc-ambiguous	efxLiveBGCOL_Loop	banim-efxmagic-healstaves
0805F0E8	080620A4	72	reloc-ambiguous	efxReserveBGCOL2_Loop	banim-efxmagic-healstaves
0805F0E8	08061E44	72	reloc-ambiguous	efxReserveBGCOL_Loop	banim-efxmagic-healstaves
0805F0E8	080637B0	72	reloc-ambiguous	efxShineBGCOL_Loop	banim-efxmagic-shine
0805F0E8	0806499C	72	reloc-ambiguous	efxExcaliburBGCOL2_Loop	banim-efxmagic-excalibur
0805F0E8	08065384	72	reloc-ambiguous	efxOuraBGCOL_Loop	banim-efxmagic-aura
0805F0E8	08064B48	72	reloc-ambiguous	efxExcaliburBGCOL3_Loop	banim-efxmagic-excalibur
0805F0E8	08064E2C	72	reloc-ambiguous	efxGespenstBGCOL2_Loop	banim-efxmagic-gespenst
0805F220	0805E120	272	reloc-unique	efxFimbulvetr_Loop_Main	banim-efxmagic-fimbulvetr
0805F3B4	0805E2B4	100	reloc-ambiguous	efxFimbulvetrBGTR_Loop	banim-efxmagic-fimbulvetr
0805F3B4	080622F4	100	reloc-ambiguous	efxRestBG_Loop	banim-efxmagic-healstaves
0805F3B4	08063FC0	100	reloc-ambiguous	efxLunaBG3_Loop	banim-efxmagic-luna
0805F3B4	08062B48	100	reloc-ambiguous	efxHammarneBG_Loop	banim-efxmagic-effectstaves
0805F594	0805E494	48	reloc-unique	efxFimbulvetrOBJ_Loop	banim-efxmagic-fimbulvetr
0805F610	0805E510	44	reloc-unique	efxFimbulvetrOBJ2_Loop	banim-efxmagic-fimbulvetr
0805F794	0805E694	192	reloc-unique	efxFimbulvetrOBJ2Fall_Loop	banim-efxmagic-fimbulvetr
0805F9A4	0805E8A4	92	reloc-unique	efxThunderstormBG_Loop	banim-efxmagic-bolting
0805FA24	0805E924	68	reloc-unique	efxThunderstormOBJ_Loop	banim-efxmagic-bolting
0805FA68	0805E968	36	reloc-unique	efxThunderstormOBJ_End	banim-efxmagic-bolting
0805FBF0	0805EAF0	100	reloc-unique	efxThunderstormDark_Loop_A	banim-efxmagic-bolting
0805FC54	0805EB54	68	reloc-unique	efxThunderstormDark_Loop_B	banim-efxmagic-bolting
0805FFAC	08063948	44	reloc-ambiguous	efxShineOBJ_Loop	banim-efxmagic-shine
0805FFAC	08064BFC	44	reloc-ambiguous	efxExcaliburOBJ_Loop	banim-efxmagic-excalibur
08060490	0805F390	288	reloc-unique	efxResire_Loop_Main	banim-efxmagic-nosferatu
080606DC	0805F5DC	132	reloc-unique	efxResireBG_Loop_A	banim-efxmagic-nosferatu
080607FC	0805F6FC	112	reloc-unique	efxResireBG_Loop_C	banim-efxmagic-nosferatu
0806086C	0805F76C	104	reloc-unique	efxResireBG_Loop_D	banim-efxmagic-nosferatu
08060C24	0805FB24	60	reloc-unique	efxPurge_PlayAlternatingSFX	banim-efxmagic-light
08060C60	0805FB60	304	reloc-unique	efxPurge_Loop_Main	banim-efxmagic-light
08060DE0	0805FCE0	124	reloc-unique	efxPurgeBG_Loop	banim-efxmagic-light
08060F68	0805FE68	24	reloc-ambiguous	efxPurgeOBJ_OnEnd	banim-efxmagic-light
08060F68	08062660	24	reloc-ambiguous	efxSilenceOBJ_OnEnd	banim-efxmagic-effectstaves
08060F68	08063468	24	reloc-ambiguous	efxMshieldBGOBJ_OnEnd	banim-efxmagic-effectstaves
08060F68	0806B64C	24	reloc-ambiguous	efxGorgonOBJ_OnEnd	banim-efxmagic-demonsurge
08060FC0	0805FEC0	240	reloc-unique	efxDivine_Loop_Main	banim-efxmagic-light
0806123C	0806013C	164	reloc-unique	efxDivineBG_Loop	banim-efxmagic-light
08061354	08060254	48	reloc-unique	efxDivineOBJ_Loop	banim-efxmagic-light
080619E0	080608E0	444	reloc-unique	efxFenrir_Loop_Main	banim-efxmagic-fenrir
08061C2C	08063E58	28	reloc-ambiguous	efxLunaBG2_OnEnd	banim-efxmagic-luna
08061C2C	0806491C	28	reloc-ambiguous	efxExcaliburBG2_OnEnd	banim-efxmagic-excalibur
08061C2C	08064AC8	28	reloc-ambiguous	efxExcaliburBG3_OnEnd	banim-efxmagic-excalibur
08061C2C	0806454C	28	reloc-ambiguous	efxExcaliburBG_OnEnd	banim-efxmagic-excalibur
08061C2C	08065300	28	reloc-ambiguous	efxOuraBG2_OnEnd	banim-efxmagic-aura
08061C2C	08064DA8	28	reloc-ambiguous	efxGespenstBG4_OnEnd	banim-efxmagic-gespenst
08061D78	08060C78	52	reloc-unique	efxFenrirOBJ_Loop	banim-efxmagic-fenrir
08061EC4	08060DC4	204	reloc-unique	efxFenrirBG2_Loop	banim-efxmagic-fenrir
08061FD8	08060ED8	76	reloc-unique	efxFenrirOBJ2_Loop	banim-efxmagic-fenrir
080620A4	08060FA4	128	reloc-unique	efxFenrirOBJ2Chiri_Loop	banim-efxmagic-fenrir
08062124	08061024	40	reloc-ambiguous	StartSpellAnimHeal	banim-efxmagic-healstaves
08062804	08061704	112	reloc-unique	efxLiveBG_Loop	banim-efxmagic-healstaves
080629F4	080618F4	120	reloc-unique	efxLiveALPHA_Loop_B	banim-efxmagic-healstaves
08062B30	08061A30	52	reloc-ambiguous	efxLiveOBJ_Loop	banim-efxmagic-healstaves
08062B30	0806635C	52	reloc-ambiguous	efxIvaldiOBJ1_Loop	banim-efxmagic-ivaldi
08062B30	08067B48	52	reloc-ambiguous	efxEvilEyeOBJ_Loop	banim-efxmagic-evileye
08062B30	080674A0	52	reloc-ambiguous	efxMaohFlashThunderOBJ2_Loop	banim-efxmagic-demonlight
08062B30	08067764	52	reloc-ambiguous	efxStoneOBJ_Loop	banim-efxmagic-stone
08062B30	08068208	52	reloc-ambiguous	efxNaglfarOBJ_Loop	banim-efxmagic-naglfar
08062B30	080682E0	52	reloc-ambiguous	efxNaglfarOBJ2_Loop	banim-efxmagic-naglfar
08062B30	08066D7C	52	reloc-ambiguous	efxMaohFlashEyeROBJ2_Loop	banim-efxmagic-demonlight
08062B30	08066E74	52	reloc-ambiguous	efxMaohFlashEyeLOBJ2_Loop	banim-efxmagic-demonlight
08062B30	08066F90	52	reloc-ambiguous	efxMaohFlashEyeOBJ1_Loop	banim-efxmagic-demonlight
08062B30	080670A8	52	reloc-ambiguous	efxMaohFlashEyeFire1OBJ1_Loop	banim-efxmagic-demonlight
08062B30	080671C0	52	reloc-ambiguous	efxMaohFlashEyeFire2OBJ1_Loop	banim-efxmagic-demonlight
08062B98	08061BE4	52	reloc-ambiguous	efxReblowOBJ_Loop_B	banim-efxmagic-healstaves
08062D78	08061C78	176	reloc-unique	efxReserve_Loop_Main	banim-efxmagic-healstaves
08062E78	08061D78	128	reloc-unique	efxReserveBG_Loop	banim-efxmagic-healstaves
08063078	08061F78	224	reloc-unique	efxReserveBG2_Loop	banim-efxmagic-healstaves
08063228	08062128	376	reloc-unique	efxRest_Loop_Main	banim-efxmagic-healstaves
0806351C	0806241C	264	reloc-unique	efxSilence_Loop_Main	banim-efxmagic-effectstaves
08063AD4	080629D4	288	reloc-unique	efxHammarne_Loop_Main	banim-efxmagic-effectstaves
08063F44	08062E44	104	reloc-unique	efxBerserkBG_Loop	banim-efxmagic-effectstaves
08063FD8	08062ED8	100	reloc-ambiguous	efxBerserkCLONE_Loop	banim-efxmagic-effectstaves
08063FD8	08073240	100	reloc-ambiguous	EfxClasschgCloneMain	banim-ekrclasschg
08064350	08063250	204	reloc-unique	efxMshield_Loop_Main	banim-efxmagic-effectstaves
08064D20	0806DA90	32	reloc-ambiguous	NewEfxSRankWeaponEffectSCR	banim-efxmisc
08065160	08064060	112	reloc-unique	efxLunaOBJ_Loop_A	banim-efxmagic-luna
080653C8	080642BC	76	reloc-unique	efxLunaRST_Loop	banim-efxmagic-luna
08065450	08064344	412	reloc-unique	efxExcalibur_Loop_Main	banim-efxmagic-excalibur
08065758	08064938	32	reloc-ambiguous	efxExcaliburBG2_Loop	banim-efxmagic-excalibur
08065758	0806531C	32	reloc-ambiguous	efxOuraBG2_Loop	banim-efxmagic-aura
08065758	08064AE4	32	reloc-ambiguous	efxExcaliburBG3_Loop	banim-efxmagic-excalibur
08065758	08064DC4	32	reloc-ambiguous	efxGespenstBG4_Loop	banim-efxmagic-gespenst
08065D8C	08064C80	124	reloc-unique	efxExcaliburBG0_Loop	banim-efxmagic-excalibur
080664D0	0806B664	28	reloc-ambiguous	efxGorgonOBJ_Loop	banim-efxmagic-demonsurge
08066FD4	080664A8	108	reloc-ambiguous	efxIvaldiWOUT_Loop	banim-efxmagic-ivaldi
08067BD0	08065810	412	reloc-unique	efxIvaldi_Loop_Main	banim-efxmagic-ivaldi
0806812C	08065D84	32	reloc-ambiguous	PrepareSomeIvaldiParticleGraphics	banim-efxmagic-ivaldi
0806812C	08066EA8	32	reloc-ambiguous	efxMaohFlash_RegisterEyeFlashGfx	banim-efxmagic-demonlight
0806830C	08065F64	252	reloc-unique	efxIvaldiOBJSideWash_Loop	banim-efxmagic-ivaldi
0806845C	080660B4	420	reloc-unique	efxIvaldiOBJUprise_Loop	banim-efxmagic-ivaldi
080687DC	08066434	60	reloc-unique	efxIvaldiOBJ2_Loop	banim-efxmagic-ivaldi
080688F8	08066550	384	reloc-unique	efxMaohFlash_Loop_Main	banim-efxmagic-demonlight
08068D3C	08067914	112	reloc-ambiguous	efxEvilEyeBG_Loop	banim-efxmagic-evileye
08068D3C	08067A30	112	reloc-ambiguous	efxEvilEyeBG2_Loop	banim-efxmagic-evileye
08068D3C	0806699C	112	reloc-ambiguous	efxMaohFlashBG3_Loop	banim-efxmagic-demonlight
08068EDC	08066B40	124	reloc-unique	efxMaohFlashWOUT_Loop_A	banim-efxmagic-demonlight
08068F58	08066BBC	24	reloc-unique	efxMaohFlashWOUT_Loop_B	banim-efxmagic-demonlight
08069840	08067510	196	reloc-unique	efxStone_Loop_Main	banim-efxmagic-stone
08069EE8	08067BB8	524	reloc-unique	efxNaglfar_Loop_Main	banim-efxmagic-naglfar
0806A14C	08067E1C	124	reloc-unique	efxNaglfarBG_Loop	banim-efxmagic-naglfar
0806A218	08067EE8	124	reloc-unique	efxNaglfarBG2_Loop	banim-efxmagic-naglfar
