# US<->JP ROM-address map derived from FEBuilderGBA (GPL-3.0) ROM definitions: ROMFE8JP.cs / ROMFE8U.cs.
# Factual addresses only; no copied code/text. Reference data only (not a build input).
# Generated by scripts/extract_febuilder_map.py (deterministic).
# region: byte comparison of a 32-byte window at jp_vma (baserom.gba) vs us_vma (US ROM); oob = window outside the 16 MB image.
# name	jp_vma	us_vma	region	exact_symbol	nearest_symbol_off	source
worldmap_big_image_pointer	0x080BF698	0x080BA7FC	diff		MapScreen_Init+0x98	ROMFE8JP.cs:213
worldmap_big_palette_pointer	0x080BF6A4	0x080BA808	diff		MapScreen_Init+0xA4	ROMFE8JP.cs:214
worldmap_big_dpalette_pointer	0x080C4594	0x080BF7B0	diff		StartGmPalFade_+0x28	ROMFE8JP.cs:215
worldmap_big_palettemap_pointer	0x080BF69C	0x080BA800	diff		MapScreen_Init+0x9C	ROMFE8JP.cs:216
worldmap_event_image_pointer	0x080C6DFC	0x080C2044	diff		GmapRm_StartUpdateDirect+0x64	ROMFE8JP.cs:217
worldmap_event_palette_pointer	0x080C6E00	0x080C2048	diff		GmapRm_StartUpdateDirect+0x68	ROMFE8JP.cs:218
worldmap_event_tsa_pointer	0x080C6E04	0x080C204C	diff		GmapRm_StartUpdateDirect+0x6C	ROMFE8JP.cs:219
worldmap_mini_image_pointer	0x080C8C24	0x080C3E6C	diff		StartWorldMapMinimapCore+0xC0	ROMFE8JP.cs:220
worldmap_mini_palette_pointer	0x080C8C2C	0x080C3E74	diff		StartWorldMapMinimapCore+0xC8	ROMFE8JP.cs:221
worldmap_icon_palette_pointer	0x080BDD10	0x080B8E48	diff		SetupGmapNodeGfx+0x34	ROMFE8JP.cs:222
worldmap_icon1_pointer	0x080BDD14	0x080B8E4C	diff		SetupGmapNodeGfx+0x38	ROMFE8JP.cs:223
worldmap_icon2_pointer	0x080BDD1C	0x080B8E54	diff		SetupGmapNodeGfx+0x40	ROMFE8JP.cs:224
worldmap_road_tile_pointer	0x080BDE60	0x080B8F98	diff		WorldMap_SetupBgGfx+0x138	ROMFE8JP.cs:225
map_load_function_pointer	0x080C1E90	0x080BD084	diff		GetBattleMapKind+0x1C	ROMFE8JP.cs:226
map_load_function_switch1_address	0x080C1E7C	0x080BD070	diff		GetBattleMapKind+0x8	ROMFE8JP.cs:227
system_icon_pointer	0x080156C8	0x080156AC	diff		LoadObjUIGfx+0x2C	ROMFE8JP.cs:228
system_icon_palette_pointer	0x080156D4	0x080156B8	diff		LoadObjUIGfx+0x38	ROMFE8JP.cs:229
system_icon_width_address	0x080156AC	0x08015690	diff		LoadObjUIGfx+0x10	ROMFE8JP.cs:230
system_weapon_icon_pointer	0x0809FEFC	0x0809DC5C	diff		PrepItemSupply_InitGfx+0x25C	ROMFE8JP.cs:231
system_weapon_icon_palette_pointer	0x08093450	0x08091178	diff		UnitList_SetupDisplay+0x3F8	ROMFE8JP.cs:232
system_music_icon_pointer	0x080B689C	0x080B1C7C	diff		Config_Init+0x274	ROMFE8JP.cs:233
system_music_icon_palette_pointer	0x080B6890	0x080B1C70	diff		Config_Init+0x268	ROMFE8JP.cs:234
weapon_rank_s_bonus_address	0x0802ACE4	0x0802AD74	same		ComputeBattleUnitWeaponRankBonuses+0x20	ROMFE8JP.cs:235
weapon_battle_flash_address	0x08059902	0x08058AD2	same		IsWeaponLegency+0xA	ROMFE8JP.cs:236
weapon_effectiveness_2x3x_address	0x0802AA88	0x0802AB18	same		ComputeBattleUnitAttack+0x5C	ROMFE8JP.cs:237
font_item_address	0x0857994C	0x0858C7EC	diff	TextGlyphs_System	TextGlyphs_System	ROMFE8JP.cs:238
font_serif_address	0x08593F74	0x0858F6F4	diff	TextGlyphs_Talk	TextGlyphs_Talk	ROMFE8JP.cs:239
monster_probability_pointer	0x0807A770	0x0807834C	diff		GenerateMonsterClass+0x28	ROMFE8JP.cs:240
monster_item_item_pointer	0x0807A814	0x080783F0	diff		GenerateMonsterItems+0xA0	ROMFE8JP.cs:241
monster_item_probability_pointer	0x0807A810	0x080783EC	diff		GenerateMonsterItems+0x9C	ROMFE8JP.cs:242
monster_item_table_pointer	0x0807A784	0x08078360	diff		GenerateMonsterItems+0x10	ROMFE8JP.cs:243
monster_wmap_base_point_pointer	0x080C6694	0x080C18D8	diff		GenerateRandomonsterMergeConf+0x164	ROMFE8JP.cs:244
monster_wmap_stage_1_pointer	0x080C657C	0x080C17C0	diff		GenerateRandomonsterMergeConf+0x4C	ROMFE8JP.cs:245
monster_wmap_stage_2_pointer	0x080C65B4	0x080C17F8	diff		GenerateRandomonsterMergeConf+0x84	ROMFE8JP.cs:246
monster_wmap_probability_1_pointer	0x080C6580	0x080C17C4	diff		GenerateRandomonsterMergeConf+0x50	ROMFE8JP.cs:247
monster_wmap_probability_2_pointer	0x080C65B8	0x080C17FC	diff		GenerateRandomonsterMergeConf+0x88	ROMFE8JP.cs:248
monster_wmap_probability_after_1_pointer	0x080C65D0	0x080C1814	diff		GenerateRandomonsterMergeConf+0xA0	ROMFE8JP.cs:249
monster_wmap_probability_after_2_pointer	0x080C6690	0x080C18D4	diff		GenerateRandomonsterMergeConf+0x160	ROMFE8JP.cs:250
worldmap_skirmish_startevent_pointer	0x08015430	0x0801540C	diff		CallBeginningEvents+0x38	ROMFE8JP.cs:251
worldmap_skirmish_endevent_pointer	0x080855F8	0x080832C0	diff		CallEndEvent+0x40	ROMFE8JP.cs:252
battle_bg_pointer	0x08077E9C	0x08075A68	diff		PutBanimBgIMG+0x18	ROMFE8JP.cs:253
battle_terrain_pointer	0x08052B40	0x08051E48	diff		EfxInitTerrainBg+0x48	ROMFE8JP.cs:254
magic_effect_pointer	0x0805C19C	0x0805B3F8	diff		StartSpellAnimation+0x2C	ROMFE8JP.cs:257
system_move_allowicon_pointer	0x08032DB0	0x08032E98	diff		PathArrowDisp_Init+0x70	ROMFE8JP.cs:260
system_move_allowicon_palette_pointer	0x08032DB8	0x08032EA0	diff		PathArrowDisp_Init+0x78	ROMFE8JP.cs:261
system_tsa_16color_304x240_pointer	0x080B51B8	0x080B05A0	diff		ExtramenuUnk_LoadGfx+0xA8	ROMFE8JP.cs:262
oping_event_pointer	0x08907F78	0x088B39F0	diff		Events_WM_Beginning+0x4	ROMFE8JP.cs:266
ending1_event_pointer	0x08009E20	0x08009EC0	diff		CallGameEndingEvent+0x28	ROMFE8JP.cs:267
ending2_event_pointer	0x08009E38	0x08009ED8	diff		CallGameEndingEvent+0x40	ROMFE8JP.cs:268
RAMSlotTable_address	0x085C2A50	0x0859A5D0	diff	gUnitLookup	gUnitLookup	ROMFE8JP.cs:269
supply_pointer_address	0x08031470	0x08031524	diff		ClearSupplyItems+0x1C	ROMFE8JP.cs:270
function_sleep_handle_address	0x080031DD	0x08003291	diff		UpdateSleep+0x1	ROMFE8JP.cs:300
function_fe_main_return_address	0x08000AB9	0x08000AE1	diff		ARMCodeToCopy_End+0xC1	ROMFE8JP.cs:302
function_event_engine_loop_address	0x0800D111	0x0800CE4D	diff		EventEngine_OnUpdate+0x1	ROMFE8JP.cs:305
procs_maptask_pointer	0x08030F24	0x08030FD8	diff		RestartBattleMap+0x90	ROMFE8JP.cs:319
procs_soundroomUI_pointer	0x080B4B44	0x080AFF2C	diff		StartSoundRoomScreen+0x10	ROMFE8JP.cs:320
procs_game_main_address	0x085B946C	0x085916D4	diff	gProcScr_GameControl	gProcScr_GameControl	ROMFE8JP.cs:321
summon_unit_pointer	0x080243E0	0x0802442C	diff		SummonCommandUsability+0x54	ROMFE8JP.cs:322
summons_demon_king_pointer	0x0807D6AC	0x0807B32C	diff		LoadSumMonsterFromDK+0x78	ROMFE8JP.cs:323
summons_demon_king_count_address	0x0807D63C	0x0807B2BC	diff		LoadSumMonsterFromDK+0x8	ROMFE8JP.cs:324
mant_command_pointer	0x0806F3F4	0x0806D0D0	diff		NewEfxMagfcast+0x50	ROMFE8JP.cs:325
mant_command_count_address	0x0806F3DA	0x0806D0B6	diff		NewEfxMagfcast+0x36	ROMFE8JP.cs:327
unit_increase_height_yes	0x08005B9C	0x08005C98	same		ShouldFaceBeRaised+0x74	ROMFE8JP.cs:328
unit_increase_height_no	0x08005BA0	0x08005C9C	same		ShouldFaceBeRaised+0x78	ROMFE8JP.cs:329
battle_screen_TSA1_pointer	0x080529B4	0x08051CBC	diff		ekrDispUPMain+0x10C	ROMFE8JP.cs:330
battle_screen_TSA2_pointer	0x080529B8	0x08051CC0	diff		ekrDispUPMain+0x110	ROMFE8JP.cs:331
battle_screen_TSA3_pointer	0x080520AC	0x08051378	diff		ekrGaugeMain+0xF4	ROMFE8JP.cs:332
battle_screen_TSA4_pointer	0x080520B4	0x08051380	diff		ekrGaugeMain+0xFC	ROMFE8JP.cs:333
battle_screen_TSA5_pointer	0x08052E68	0x08052170	diff		EfxPrepareScreenFx+0x254	ROMFE8JP.cs:334
battle_screen_palette_pointer	0x08052E70	0x08052178	diff		EfxPrepareScreenFx+0x25C	ROMFE8JP.cs:335
battle_screen_image1_pointer	0x08052C60	0x08051F68	diff		EfxPrepareScreenFx+0x4C	ROMFE8JP.cs:336
battle_screen_image2_pointer	0x08052CC0	0x08051FC8	diff		EfxPrepareScreenFx+0xAC	ROMFE8JP.cs:337
battle_screen_image3_pointer	0x08052D20	0x08052028	diff		EfxPrepareScreenFx+0x10C	ROMFE8JP.cs:338
battle_screen_image4_pointer	0x08052D80	0x08052088	diff		EfxPrepareScreenFx+0x16C	ROMFE8JP.cs:339
battle_screen_image5_pointer	0x08052E5C	0x08052164	diff		EfxPrepareScreenFx+0x248	ROMFE8JP.cs:340
ai1_pointer	0x085D30EC	0x085A91E4	diff	gpAi1Table	gpAi1Table	ROMFE8JP.cs:341
ai2_pointer	0x085D30E0	0x085A91D8	diff	gpAi2Table	gpAi2Table	ROMFE8JP.cs:342
ai3_pointer	0x0803E16C	0x0803E1DC	diff		AiComputeCombatScore+0x64	ROMFE8JP.cs:343
ai_steal_item_pointer	0x0803B7C8	0x0803B7C0	diff		AiGetItemStealRank+0x2C	ROMFE8JP.cs:344
ai_preform_staff_pointer	0x0803F9BC	0x0803FA3C	diff		GetAiStaffFuncIndex+0x64	ROMFE8JP.cs:345
ai_preform_staff_direct_asm_pointer	0x0803FA60	0x0803FAE0	diff		AiTryDoStaff+0xA0	ROMFE8JP.cs:346
ai_preform_item_pointer	0x080407A0	0x08040820	diff		GetSpecialItemFuncIndex+0x30	ROMFE8JP.cs:347
ai_preform_item_direct_asm_pointer	0x08040848	0x080408C8	diff		AiTryDoSpecialItems+0x84	ROMFE8JP.cs:348
ai_map_setting_pointer	0x08039784	0x0803970C	diff		AiPhaseInit+0x60	ROMFE8JP.cs:349
item_usability_array_pointer	0x08028858	0x080288AC	diff		CanUnitUseItem+0x3C	ROMFE8JP.cs:350
item_usability_array_switch2_address	0x08028846	0x0802889A	diff		CanUnitUseItem+0x2A	ROMFE8JP.cs:361
item_effect_array_pointer	0x0802FBDC	0x0802FC8C	diff		ActionStaffDoorChestUseItem+0x44	ROMFE8JP.cs:366
item_effect_array_switch2_address	0x0802FBC2	0x0802FC72	diff		ActionStaffDoorChestUseItem+0x2A	ROMFE8JP.cs:376
item_promotion1_array_pointer	0x080291C0	0x08029218	diff		CanUnitUsePromotionItem+0x70	ROMFE8JP.cs:379
item_promotion1_array_switch2_address	0x080291AA	0x08029202	diff		CanUnitUsePromotionItem+0x5A	ROMFE8JP.cs:380
item_staff1_array_pointer	0x08028E34	0x08028E88	diff		DoItemUse+0x28	ROMFE8JP.cs:383
item_staff1_array_switch2_address	0x08028E22	0x08028E76	diff		DoItemUse+0x16	ROMFE8JP.cs:384
item_staff2_array_pointer	0x08074A6C	0x08072590	diff		EfxCheckStaffType+0x20	ROMFE8JP.cs:385
item_staff2_array_switch2_address	0x08074A58	0x0807257C	diff		EfxCheckStaffType+0xC	ROMFE8JP.cs:386
item_statbooster1_array_pointer	0x0802F7DC	0x0802F8B4	diff		ApplyStatBoostItem+0xAC	ROMFE8JP.cs:387
item_statbooster1_array_switch2_address	0x0802F7CA	0x0802F8A4	diff		ApplyStatBoostItem+0x9C	ROMFE8JP.cs:388
item_statbooster2_array_pointer	0x08029EBC	0x08029F30	diff		CanUnitUseItemPrepScreen+0x30	ROMFE8JP.cs:389
item_statbooster2_array_switch2_address	0x08029EA8	0x08029F1C	diff		CanUnitUseItemPrepScreen+0x1C	ROMFE8JP.cs:400
item_errormessage_array_pointer	0x08028BD4	0x08028C28	diff		GetItemCantUseMsgid+0x1C	ROMFE8JP.cs:404
item_errormessage_array_switch2_address	0x08028BC2	0x08028C16	diff		GetItemCantUseMsgid+0xA	ROMFE8JP.cs:414
event_function_pointer_table_pointer	0x0800D1A4	0x0800CEE0	diff		EventEngine_OnUpdate+0x94	ROMFE8JP.cs:418
event_function_pointer_table2_pointer	0x0800D1CC	0x0800CF08	diff		EventEngine_OnUpdate+0xBC	ROMFE8JP.cs:419
item_effect_pointer_table_pointer	0x0805C19C	0x0805B3F8	diff		StartSpellAnimation+0x2C	ROMFE8JP.cs:420
command_85_pointer_table_pointer	0x08074108	0x08071C28	diff		EfxPlaySEwithCmdCtrl+0xBC	ROMFE8JP.cs:421
dic_main_pointer	0x080D4180	0x080CE380	diff		GuideEntry_RedrawUp+0x84	ROMFE8JP.cs:422
dic_chaptor_pointer	0x080D2EF8	0x080CE1FC	diff		PutGuideCategoryName+0x3C	ROMFE8JP.cs:423
dic_title_pointer	0x080D2F38	0x080CE23C	diff		PutGuideCategoryName+0x7C	ROMFE8JP.cs:424
unitaction_function_pointer	0x08031FA8	0x0803205C	diff		ApplyUnitAction+0x50	ROMFE8JP.cs:427
lookup_table_battle_terrain_00_pointer	0x08058D18	0x08057ECC	diff		GetBanimTerrainGround+0x124	ROMFE8JP.cs:428
lookup_table_battle_terrain_01_pointer	0x08058C6C	0x08057E20	diff		GetBanimTerrainGround+0x78	ROMFE8JP.cs:429
lookup_table_battle_terrain_02_pointer	0x08058C74	0x08057E28	diff		GetBanimTerrainGround+0x80	ROMFE8JP.cs:430
lookup_table_battle_terrain_03_pointer	0x08058C7C	0x08057E30	diff		GetBanimTerrainGround+0x88	ROMFE8JP.cs:431
lookup_table_battle_terrain_04_pointer	0x08058C84	0x08057E38	diff		GetBanimTerrainGround+0x90	ROMFE8JP.cs:432
lookup_table_battle_terrain_05_pointer	0x08058C8C	0x08057E40	diff		GetBanimTerrainGround+0x98	ROMFE8JP.cs:433
lookup_table_battle_terrain_06_pointer	0x08058C94	0x08057E48	diff		GetBanimTerrainGround+0xA0	ROMFE8JP.cs:434
lookup_table_battle_terrain_07_pointer	0x08058C9C	0x08057E50	diff		GetBanimTerrainGround+0xA8	ROMFE8JP.cs:435
lookup_table_battle_terrain_08_pointer	0x08058CA4	0x08057E58	diff		GetBanimTerrainGround+0xB0	ROMFE8JP.cs:436
lookup_table_battle_terrain_09_pointer	0x08058CAC	0x08057E60	diff		GetBanimTerrainGround+0xB8	ROMFE8JP.cs:437
lookup_table_battle_terrain_10_pointer	0x08058CB4	0x08057E68	diff		GetBanimTerrainGround+0xC0	ROMFE8JP.cs:438
lookup_table_battle_terrain_11_pointer	0x08058CBC	0x08057E70	diff		GetBanimTerrainGround+0xC8	ROMFE8JP.cs:439
lookup_table_battle_terrain_12_pointer	0x08058CC4	0x08057E78	diff		GetBanimTerrainGround+0xD0	ROMFE8JP.cs:440
lookup_table_battle_terrain_13_pointer	0x08058CCC	0x08057E80	diff		GetBanimTerrainGround+0xD8	ROMFE8JP.cs:441
lookup_table_battle_terrain_14_pointer	0x08058CD4	0x08057E88	diff		GetBanimTerrainGround+0xE0	ROMFE8JP.cs:442
lookup_table_battle_terrain_15_pointer	0x08058CDC	0x08057E90	diff		GetBanimTerrainGround+0xE8	ROMFE8JP.cs:443
lookup_table_battle_terrain_16_pointer	0x08058CE4	0x08057E98	diff		GetBanimTerrainGround+0xF0	ROMFE8JP.cs:444
lookup_table_battle_terrain_17_pointer	0x08058CEC	0x08057EA0	diff		GetBanimTerrainGround+0xF8	ROMFE8JP.cs:445
lookup_table_battle_terrain_18_pointer	0x08058CF4	0x08057EA8	diff		GetBanimTerrainGround+0x100	ROMFE8JP.cs:446
lookup_table_battle_terrain_19_pointer	0x08058CFC	0x08057EB0	diff		GetBanimTerrainGround+0x108	ROMFE8JP.cs:447
lookup_table_battle_terrain_20_pointer	0x08058D04	0x08057EB8	diff		GetBanimTerrainGround+0x110	ROMFE8JP.cs:448
lookup_table_battle_bg_00_pointer	0x08058E40	0x08057FF4	diff		GetBanimBackgroundIndex+0x124	ROMFE8JP.cs:449
lookup_table_battle_bg_01_pointer	0x08058D94	0x08057F48	diff		GetBanimBackgroundIndex+0x78	ROMFE8JP.cs:450
lookup_table_battle_bg_02_pointer	0x08058D9C	0x08057F50	diff		GetBanimBackgroundIndex+0x80	ROMFE8JP.cs:451
lookup_table_battle_bg_03_pointer	0x08058DA4	0x08057F58	diff		GetBanimBackgroundIndex+0x88	ROMFE8JP.cs:452
lookup_table_battle_bg_04_pointer	0x08058DAC	0x08057F60	diff		GetBanimBackgroundIndex+0x90	ROMFE8JP.cs:453
lookup_table_battle_bg_05_pointer	0x08058DB4	0x08057F68	diff		GetBanimBackgroundIndex+0x98	ROMFE8JP.cs:454
lookup_table_battle_bg_06_pointer	0x08058DBC	0x08057F70	diff		GetBanimBackgroundIndex+0xA0	ROMFE8JP.cs:455
lookup_table_battle_bg_07_pointer	0x08058DC4	0x08057F78	diff		GetBanimBackgroundIndex+0xA8	ROMFE8JP.cs:456
lookup_table_battle_bg_08_pointer	0x08058DCC	0x08057F80	diff		GetBanimBackgroundIndex+0xB0	ROMFE8JP.cs:457
lookup_table_battle_bg_09_pointer	0x08058DD4	0x08057F88	diff		GetBanimBackgroundIndex+0xB8	ROMFE8JP.cs:458
lookup_table_battle_bg_10_pointer	0x08058DDC	0x08057F90	diff		GetBanimBackgroundIndex+0xC0	ROMFE8JP.cs:459
lookup_table_battle_bg_11_pointer	0x08058DE4	0x08057F98	diff		GetBanimBackgroundIndex+0xC8	ROMFE8JP.cs:460
lookup_table_battle_bg_12_pointer	0x08058DEC	0x08057FA0	diff		GetBanimBackgroundIndex+0xD0	ROMFE8JP.cs:461
lookup_table_battle_bg_13_pointer	0x08058DF4	0x08057FA8	diff		GetBanimBackgroundIndex+0xD8	ROMFE8JP.cs:462
lookup_table_battle_bg_14_pointer	0x08058DFC	0x08057FB0	diff		GetBanimBackgroundIndex+0xE0	ROMFE8JP.cs:463
lookup_table_battle_bg_15_pointer	0x08058E04	0x08057FB8	diff		GetBanimBackgroundIndex+0xE8	ROMFE8JP.cs:464
lookup_table_battle_bg_16_pointer	0x08058E0C	0x08057FC0	diff		GetBanimBackgroundIndex+0xF0	ROMFE8JP.cs:465
lookup_table_battle_bg_17_pointer	0x08058E14	0x08057FC8	diff		GetBanimBackgroundIndex+0xF8	ROMFE8JP.cs:466
lookup_table_battle_bg_18_pointer	0x08058E1C	0x08057FD0	diff		GetBanimBackgroundIndex+0x100	ROMFE8JP.cs:467
lookup_table_battle_bg_19_pointer	0x08058E24	0x08057FD8	diff		GetBanimBackgroundIndex+0x108	ROMFE8JP.cs:468
lookup_table_battle_bg_20_pointer	0x08058E2C	0x08057FE0	diff		GetBanimBackgroundIndex+0x110	ROMFE8JP.cs:469
menu_J12_always_address	0x080501BC	0x0804F448	same	MenuAlwaysEnabled	MenuAlwaysEnabled	ROMFE8JP.cs:471
menu_J12_hide_address	0x080501C4	0x0804F450	diff	MenuAlwaysNotShown	MenuAlwaysNotShown	ROMFE8JP.cs:472
status_game_option_pointer	0x080B638C	0x080B17D8	diff		DrawGameOptionHelpText+0x54	ROMFE8JP.cs:473
status_game_option_order_pointer	0x080B6318	0x080B16F8	diff		GetSelectedOptionValue+0x1C	ROMFE8JP.cs:474
status_game_option_order_count_address	0x080B6652	0x080B1A32	same		Config_Init+0x2A	ROMFE8JP.cs:476
status_units_menu_pointer	0x08094588	0x08092290	diff		UnitList_DrawColumnNames+0xC4	ROMFE8JP.cs:477
